f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,label
1.0,0.5096527115754519,0.05652265947809022,0.0070071810279561,0.005913872728971434,0.012981946073198494,0.012541471136694274,0.026893245740207905,0.017670029232916572,0.005046742159350398,0.015596022523523372,0.005506808160666595,0.01872977696395543,0.0306294626464794,0.008289577096945897,0.008496851977434178,0.012007415658902012,0.010151880127120686,0.006407816439241606,0.01221490773424391,0.0062596371605431805,0.013218290200152222,0.0011218728452437586,0.02731535093227261,0.012944901201743566,0.005552417254884287,0.012944901201743565,0.027315350932272622,0.001121872845243759,0.013218290200152206,0.0062596371605431805,0.012214907734243961,forward_biased_diode
0.24240021297439884,0.1756863509925288,0.45520332007509295,0.29697190797917583,0.4856715764961385,0.18480636882393986,0.41151251574627706,0.7114634936985157,0.6550490015461381,0.8173782518569811,0.007063967258959563,0.37663264192186224,0.35222030161604245,0.9130738994245381,0.7108115405166133,0.23350496544977997,0.15110976786010014,0.26396473003237947,0.5295692307019892,0.5415499641625597,0.583993724191951,0.3341254043056845,0.9999999999999998,0.38091301671462136,0.9348240332105751,0.9367892260051818,0.9348240332105751,0.3809130167146213,1.0,0.33412540430568427,0.583993724191951,0.5415499641625598,reverse_biased_diode
1.0,0.48196148246026554,0.04592651787014327,0.008468010552803452,0.015525055904079918,0.01942708636832414,0.02352537549813407,0.008257175526678666,0.017195573173864234,0.00583987393246979,0.011521138496906485,0.026017007197075868,0.007470354468879292,0.009279753999004374,0.008312209184608638,0.010802405377257211,0.012393604095821537,0.016591786232429174,0.0022283663908339124,0.0017960592494228919,0.008864138058404495,0.010745568006770055,0.02599873296830388,0.008439467511253724,0.013487537466563596,0.01612765114809489,0.013487537466563596,0.008439467511253735,0.025998732968303885,0.010745568006770057,0.008864138058404495,0.0017960592494229422,forward_biased_diode
0.561068983767046,0.5406125243292484,0.728731617740439,0.30614157501277045,0.601682210076301,0.34472976699595576,0.4522784699625581,0.5673347398239253,0.5108095201887156,1.0,0.4265440977278186,0.4745049950702066,0.5967659819871083,0.13265592000839868,0.3809002713317796,0.4337911138415148,0.7147359216666337,0.7114539408053878,0.7411729850214209,0.5307696028106926,0.7577497703835213,0.6246362503955939,0.6444934375258987,0.3307558222334341,0.6144061949391669,0.07516512157746791,0.6144061949391669,0.33075582223343397,0.6444934375258987,0.6246362503955938,0.7577497703835213,0.5307696028106926,reverse_biased_diode
1.0,0.4956146312421419,0.04938052192032765,0.0113722496841115,0.017015146893144924,0.020766120567306687,0.01215230206019109,0.019539251799227497,0.005371390997924861,0.021451923650145317,0.004171864771272764,0.004025156807952287,0.012932429365314607,0.01490762359345847,0.008024106518122487,0.016561357389575815,0.007080105398829117,0.016834188476195118,0.007376486950306354,0.013154520745327122,0.01269485873103998,0.012027376276344327,0.013732683539460706,0.008548075362511733,0.017276482269621803,0.0010114505489192754,0.017276482269621803,0.008548075362511738,0.013732683539460704,0.01202737627634431,0.01269485873103998,0.013154520745327095,forward_biased_diode
0.3027771604358146,0.2129671058858473,0.5336831516847754,0.5423111839619917,0.5416240971329822,0.3780040615709808,1.0,0.12236247468902156,0.48611192166225414,0.2800601575052336,0.2869057802659497,0.15941407444015993,0.36277874996504395,0.23810439592882407,0.5878365097651508,0.5697775298788023,0.4134230092348792,0.42659113280975575,0.33469791801588245,0.7114544884244673,0.5234012391071865,0.45639334538542525,0.19085756444734517,0.17420874621850516,0.4045846200048011,0.278174170346361,0.4045846200048012,0.17420874621850518,0.19085756444734525,0.45639334538542525,0.5234012391071865,0.7114544884244672,reverse_biased_diode
1.0,0.5105566504185342,0.04686060953140569,0.015495859347238036,0.004848284301205044,0.01510488798144416,0.004442616612701964,0.012810441969054061,0.010314303001563939,0.001449338771094076,0.01503862892447822,0.00929350907428763,0.010238614053022477,0.014723160206930692,0.011306577544542961,0.011435460089731888,0.008109245816783383,0.012665259673713377,0.006988452783334901,0.007395040255250359,0.012381738134746634,0.01329414690438442,0.01729658921768624,0.00426845716270044,0.018056180368988935,0.00982707924958498,0.018056180368988938,0.00426845716270042,0.017296589217686245,0.01329414690438443,0.012381738134746634,0.007395040255250325,forward_biased_diode
0.18517743474859086,0.3703573395517057,0.49334996357417005,0.18064505062740324,0.23540162533216957,0.6259695229315704,0.7819651635383044,0.30771991856300784,0.3811586858498324,0.19804872739859355,0.35886780834161386,0.22251374049635855,0.34289578769458795,0.415813598289426,0.964681530821757,1.0,0.42222233556077626,0.21441572531838723,0.8961904458338472,0.23587417188370122,0.19514552599258017,0.43709271378213516,0.19206672560999716,0.32074623350146286,0.3664046068323174,0.6008071939390449,0.3664046068323174,0.3207462335014628,0.19206672560999713,0.4370927137821353,0.19514552599258017,0.23587417188370113,reverse_biased_diode
1.0,0.4958466552194372,0.05549258778176406,0.0035783334474002878,0.0252795206666801,0.010494441362273187,0.026247698393658602,0.015032148561349502,0.01898220225577007,0.015145792783029756,0.011185494207964596,0.00332281700751744,0.009626494035914127,0.006727053289828426,0.019330519303941796,0.012172255518177341,0.019825390943933152,0.013007391112590288,0.01790706573717871,0.007905358123297684,0.006485266678492269,0.014878235832941419,0.017096630324649302,0.016202884829986285,0.00434304215143322,0.02720807130823454,0.004343042151433219,0.016202884829986282,0.01709663032464931,0.01487823583294142,0.006485266678492269,0.00790535812329769,forward_biased_diode
0.0703633208708809,0.3495308025218598,0.3274053415446463,0.24754393392068041,0.1777536140970109,0.3885838628028586,0.2566572891031478,0.8951296209372498,0.20835409291058007,0.17163485064417316,1.0,0.4788520713229578,0.2736167868703731,0.18441659251231657,0.0351285724752124,0.6999711912755461,0.06358779291754105,0.8964719861822144,0.6321616445859386,0.2033279907037523,0.25313622760017945,0.3579406218654892,0.4293735533341053,0.6356043226929944,0.5906070042710945,0.6836417173486632,0.5906070042710947,0.6356043226929942,0.42937355333410526,0.3579406218654892,0.25313622760017945,0.2033279907037523,reverse_biased_diode
